1.36,Acetone,#N/A
1.36,Ethyl alcohol,#N/A
1.38,Sugar solution(30%),#N/A
1.433,Fluorite,#N/A
1.46,Fused quartz,#N/A
1.473,Glycerine,#N/A
1.49,Sugar solution (80%),#N/A
1.52,Typical crown glass,#N/A
1.52-1.62,Crown glasses,#N/A
1.523,"Spectacle crown, C-1",#N/A
1.54,Sodium chloride,#N/A
1.55-1.59,Polystyrene,#N/A
1.63,Carbon disulfide,#N/A
1.57-1.75,Flint glasses,#N/A
1.65,Heavy flint glass,#N/A
1.72,"Extra dense flint, EDF-3",#N/A
1.74,Methylene iodide,#N/A
1.77,Sapphire,#N/A
1.7-1.84,Rare earth flint,#N/A
1.82-1.98,Lanthanum flint,#N/A
2.04,Arsenic trisulfide glass,#N/A
2.417,Diamond,#N/A
